token,log_name,scenario_type,track_token,actor_type,first_frame,last_frame,observed_frames,max_consecutive_frames,observation_gap_count,unique_detection_tokens,detection_token_changes,unique_runtime_track_ids,category_changes,first_timestamp_us,last_timestamp_us,kept_frames,cap_excluded_frames,outside_frame_frames
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,baf95a433b14533a,VEHICLE,0,15,16,16,0,16,15,1,0,1631558767700274,1631558768449923,0,0,16
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,25929fb77d3952b3,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,aea1df4fdba95022,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,29199a3212515836,VEHICLE,0,2,3,3,0,3,2,1,0,1631558767700274,1631558767800233,0,0,3
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,6748e8377bd85449,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,55f91d6188715b68,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,b7867c8deb685b2f,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,9e2c33649a76557c,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,101,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,315d304141bb5622,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,101,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,0d06613efcf15da8,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,1ad5a72819835b1f,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,98,0,3
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,3796b12953205c6f,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,7a0faf9c703f57dd,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,82,0,19
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,1ba702d36592563c,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,1725e5ee51ad5122,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,8eca84f796535028,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,823f642e14215a86,VEHICLE,0,28,29,29,0,29,28,1,0,1631558767700274,1631558769099563,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,2073097594a45370,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,74a51336b5d05aa1,VEHICLE,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,0,0,0
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,80e601a289e059ae,PEDESTRIAN,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,52,0,49
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,73df8f1832c25ce6,PEDESTRIAN,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,44,0,57
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,7aee7178fb835f1b,PEDESTRIAN,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,33,0,68
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,8c2c8e2771e55995,PEDESTRIAN,0,100,101,101,0,101,100,1,0,1631558767700274,1631558772699622,39,0,62
