token,log_name,scenario_type,frame_index,timestamp_us,track_token,event,previous_status,current_status
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,3,1631558767850214,1ad5a72819835b1f,spatial_entry,outside_frame,kept
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,3,1631558767850214,25929fb77d3952b3,spatial_exit,raw_drivable_area_exclusion,raw_drivable_area_exclusion
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,3,1631558767850214,29199a3212515836,observation_disappearance_unknown_cause,outside_frame,
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,6,1631558768000164,0d06613efcf15da8,spatial_entry,raw_drivable_area_exclusion,raw_drivable_area_exclusion
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,6,1631558768000164,55d7f58d83c75d58,observation_appearance_censored,,raw_drivable_area_exclusion
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,13,1631558768349974,0d89f622597a5341,observation_disappearance_unknown_cause,kept,
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,13,1631558768349974,eae5c42d2c945dea,observation_appearance_censored,,kept
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,15,1631558768449923,5f7de5068d6a55f4,observation_disappearance_unknown_cause,kept,
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,16,1631558768499901,baf95a433b14533a,observation_disappearance_unknown_cause,outside_frame,
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,19,1631558768649829,7a0faf9c703f57dd,spatial_entry,outside_frame,kept
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,19,1631558768649829,aea1df4fdba95022,spatial_exit,raw_drivable_area_exclusion,raw_drivable_area_exclusion
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,24,1631558768899673,41f8bda5df3a550e,observation_appearance_censored,,kept
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,25,1631558768949640,b72a764bcee05f8f,observation_appearance_censored,,kept
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,25,1631558768949640,eae5c42d2c945dea,observation_disappearance_unknown_cause,kept,
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,28,1631558769099563,6adb90a27ce15a63,observation_disappearance_unknown_cause,kept,
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,28,1631558769099563,83630cf3770d5d42,observation_appearance_censored,,kept
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,28,1631558769099563,bc32ec41a23d5473,observation_disappearance_unknown_cause,kept,
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,29,1631558769149546,53ecc85463735b74,observation_appearance_censored,,raw_drivable_area_exclusion
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,29,1631558769149546,823f642e14215a86,observation_disappearance_unknown_cause,raw_drivable_area_exclusion,
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,32,1631558769299502,6278c45c780c5880,observation_disappearance_unknown_cause,kept,
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,32,1631558769299502,8578dcc5987756be,observation_disappearance_unknown_cause,kept,
a8ba823407a357b2,2021.09.13.18.39.41_veh-39_00273_00761,traversing_intersection,32,1631558769299502,908b8adc75bb5d8a,observation_disappearance_unknown_cause,kept,
