token,scenario_type,log_name,path,actor_category,raw_count,in_frame_count,kept_count,dropped_outside_frame,dropped_by_cap,cap,overflow,d_K,d_first_drop,boundary_gap,actual_processed_valid_count,native_in_frame_count,in_frame_agreement,count_agreement,ordering_agreement,mask_agreement,speed_clipping_agreement,legacy_count_agreement,raw_dtype,predicted_dtype,processed_dtype,max_abs_error,mean_abs_error,x_error,x_mean_error,y_error,y_mean_error,heading_error,heading_mean_error,width_error,width_mean_error,length_error,length_mean_error,speed_error,speed_mean_error
4496ad8000c85b5e,unknown,2021.09.02.14.10.27_veh-08_00168_00649,2021.09.02.14.10.27_veh-08_00168_00649/unknown/4496ad8000c85b5e/sledge_raw.gz,vehicles,3,3,3,0,0,50,-47,44.05873107910156,,,3,3,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496ad8000c85b5e,unknown,2021.09.02.14.10.27_veh-08_00168_00649,2021.09.02.14.10.27_veh-08_00168_00649/unknown/4496ad8000c85b5e/sledge_raw.gz,pedestrians,0,0,0,0,0,20,-20,,,,0,0,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496ad8000c85b5e,unknown,2021.09.02.14.10.27_veh-08_00168_00649,2021.09.02.14.10.27_veh-08_00168_00649/unknown/4496ad8000c85b5e/sledge_raw.gz,static_objects,0,0,0,0,0,30,-30,,,,0,0,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
474ff7719e9756de,medium_magnitude_speed,2021.08.27.03.25.14_veh-51_00110_00765,2021.08.27.03.25.14_veh-51_00110_00765/medium_magnitude_speed/474ff7719e9756de/sledge_raw.gz,vehicles,7,5,5,2,0,50,-45,29.907272338867188,,,5,5,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474ff7719e9756de,medium_magnitude_speed,2021.08.27.03.25.14_veh-51_00110_00765,2021.08.27.03.25.14_veh-51_00110_00765/medium_magnitude_speed/474ff7719e9756de/sledge_raw.gz,pedestrians,1,0,0,1,0,20,-20,,,,0,0,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474ff7719e9756de,medium_magnitude_speed,2021.08.27.03.25.14_veh-51_00110_00765,2021.08.27.03.25.14_veh-51_00110_00765/medium_magnitude_speed/474ff7719e9756de/sledge_raw.gz,static_objects,7,7,7,0,0,30,-23,12.62242317199707,,,7,7,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
9d62f253ba225f0f,traversing_pickup_dropoff,2021.06.23.14.06.20_veh-26_00020_01142,2021.06.23.14.06.20_veh-26_00020_01142/traversing_pickup_dropoff/9d62f253ba225f0f/sledge_raw.gz,vehicles,2,0,0,2,0,50,-50,,,,0,0,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9d62f253ba225f0f,traversing_pickup_dropoff,2021.06.23.14.06.20_veh-26_00020_01142,2021.06.23.14.06.20_veh-26_00020_01142/traversing_pickup_dropoff/9d62f253ba225f0f/sledge_raw.gz,pedestrians,2,2,2,0,0,20,-18,23.50178337097168,,,2,2,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9d62f253ba225f0f,traversing_pickup_dropoff,2021.06.23.14.06.20_veh-26_00020_01142,2021.06.23.14.06.20_veh-26_00020_01142/traversing_pickup_dropoff/9d62f253ba225f0f/sledge_raw.gz,static_objects,19,1,1,18,0,30,-29,25.027551651000977,,,1,1,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
133ba37489cb5a19,medium_magnitude_speed,2021.10.12.19.20.46_veh-28_00644_00868,2021.10.12.19.20.46_veh-28_00644_00868/medium_magnitude_speed/133ba37489cb5a19/sledge_raw.gz,vehicles,11,4,4,7,0,50,-46,26.673189163208008,,,4,4,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133ba37489cb5a19,medium_magnitude_speed,2021.10.12.19.20.46_veh-28_00644_00868,2021.10.12.19.20.46_veh-28_00644_00868/medium_magnitude_speed/133ba37489cb5a19/sledge_raw.gz,pedestrians,18,14,14,4,0,20,-6,30.89772605895996,,,14,14,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133ba37489cb5a19,medium_magnitude_speed,2021.10.12.19.20.46_veh-28_00644_00868,2021.10.12.19.20.46_veh-28_00644_00868/medium_magnitude_speed/133ba37489cb5a19/sledge_raw.gz,static_objects,3,2,2,1,0,30,-28,21.27974510192871,,,2,2,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
86d2e80d5aee5d2d,high_lateral_acceleration,2021.10.13.14.40.14_veh-28_00131_00430,2021.10.13.14.40.14_veh-28_00131_00430/high_lateral_acceleration/86d2e80d5aee5d2d/sledge_raw.gz,vehicles,3,0,0,3,0,50,-50,,,,0,0,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86d2e80d5aee5d2d,high_lateral_acceleration,2021.10.13.14.40.14_veh-28_00131_00430,2021.10.13.14.40.14_veh-28_00131_00430/high_lateral_acceleration/86d2e80d5aee5d2d/sledge_raw.gz,pedestrians,1,1,1,0,0,20,-19,31.546323776245117,,,1,1,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86d2e80d5aee5d2d,high_lateral_acceleration,2021.10.13.14.40.14_veh-28_00131_00430,2021.10.13.14.40.14_veh-28_00131_00430/high_lateral_acceleration/86d2e80d5aee5d2d/sledge_raw.gz,static_objects,3,3,3,0,0,30,-27,20.679641723632812,,,3,3,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
6205b6a1165a5d44,unknown,2021.07.09.23.35.52_veh-37_01974_02942,2021.07.09.23.35.52_veh-37_01974_02942/unknown/6205b6a1165a5d44/sledge_raw.gz,vehicles,71,37,37,34,0,50,-13,35.72747039794922,,,37,37,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6205b6a1165a5d44,unknown,2021.07.09.23.35.52_veh-37_01974_02942,2021.07.09.23.35.52_veh-37_01974_02942/unknown/6205b6a1165a5d44/sledge_raw.gz,pedestrians,10,0,0,10,0,20,-20,,,,0,0,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6205b6a1165a5d44,unknown,2021.07.09.23.35.52_veh-37_01974_02942,2021.07.09.23.35.52_veh-37_01974_02942/unknown/6205b6a1165a5d44/sledge_raw.gz,static_objects,19,0,0,19,0,30,-30,,,,0,0,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
9da62c4afe695665,stationary,2021.05.28.16.28.19_veh-35_03206_03513,2021.05.28.16.28.19_veh-35_03206_03513/stationary/9da62c4afe695665/sledge_raw.gz,vehicles,24,5,5,19,0,50,-45,40.5960693359375,,,5,5,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9da62c4afe695665,stationary,2021.05.28.16.28.19_veh-35_03206_03513,2021.05.28.16.28.19_veh-35_03206_03513/stationary/9da62c4afe695665/sledge_raw.gz,pedestrians,15,11,11,4,0,20,-9,36.25472640991211,,,11,11,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9da62c4afe695665,stationary,2021.05.28.16.28.19_veh-35_03206_03513,2021.05.28.16.28.19_veh-35_03206_03513/stationary/9da62c4afe695665/sledge_raw.gz,static_objects,42,21,21,21,0,30,-9,38.613773345947266,,,21,21,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
7c5a7e584fe753ff,unknown,2021.09.20.13.46.45_veh-42_00548_00790,2021.09.20.13.46.45_veh-42_00548_00790/unknown/7c5a7e584fe753ff/sledge_raw.gz,vehicles,4,1,1,3,0,50,-49,21.992441177368164,,,1,1,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c5a7e584fe753ff,unknown,2021.09.20.13.46.45_veh-42_00548_00790,2021.09.20.13.46.45_veh-42_00548_00790/unknown/7c5a7e584fe753ff/sledge_raw.gz,pedestrians,2,0,0,2,0,20,-20,,,,0,0,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c5a7e584fe753ff,unknown,2021.09.20.13.46.45_veh-42_00548_00790,2021.09.20.13.46.45_veh-42_00548_00790/unknown/7c5a7e584fe753ff/sledge_raw.gz,static_objects,4,1,1,3,0,30,-29,44.86923599243164,,,1,1,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
502735bde99f5261,medium_magnitude_speed,2021.06.09.18.19.00_veh-26_00255_00884,2021.06.09.18.19.00_veh-26_00255_00884/medium_magnitude_speed/502735bde99f5261/sledge_raw.gz,vehicles,31,18,18,13,0,50,-32,41.42736053466797,,,18,18,True,True,True,True,True,True,float32,float32,float32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
